distance_km,Delivery_person_Age,Delivery_person_Ratings,Vehicle_condition,multiple_deliveries,Road_traffic_density,Weather_conditions,Festival,Time_taken_min,late
6.22,20.0,4.5,2,1.0,High,Fog,No,26,0
13.79,23.0,4.6,0,2.0,Jam,Fog,Yes,46,1
9.08,37.0,5.0,0,0.0,Jam,Sunny,No,29,0
9.32,26.0,4.8,0,1.0,Jam,Sandstorms,No,23,0
16.64,26.0,4.9,1,0.0,Medium,Stormy,No,28,0
9.19,29.0,4.8,0,1.0,Jam,Cloudy,No,25,0
3.02,29.0,4.7,2,0.0,Low,Sandstorms,No,11,0
4.4,21.0,4.9,1,1.0,Medium,Windy,No,26,0
3.11,22.0,4.3,0,1.0,Low,Stormy,No,23,0
11.92,31.0,4.0,1,2.0,Medium,Fog,No,39,1
3.12,20.0,4.5,1,0.0,Low,Fog,No,11,0
10.87,36.0,4.8,0,1.0,Medium,Fog,No,43,1
1.55,32.0,4.7,2,0.0,Low,Windy,No,25,0
9.31,25.0,5.0,1,0.0,Medium,Windy,No,27,0
6.15,27.0,4.5,2,1.0,Medium,Windy,No,29,0
10.87,32.0,4.1,0,1.0,Medium,Sandstorms,No,33,1
6.21,23.0,4.7,1,1.0,Medium,Fog,No,19,0
20.18,39.0,4.4,0,1.0,Medium,Sunny,No,33,1
9.44,20.0,4.8,1,1.0,Jam,Fog,No,28,0
11.92,20.0,4.8,2,0.0,Medium,Windy,No,15,0
4.49,29.0,4.6,1,1.0,Jam,Stormy,No,29,0
20.85,26.0,4.9,2,1.0,Low,Stormy,No,18,0
1.56,25.0,5.0,1,1.0,Low,Stormy,No,14,0
6.21,34.0,4.7,1,1.0,Medium,Windy,No,30,0
6.18,31.0,4.9,0,0.0,High,Sunny,No,28,0
20.44,24.0,4.7,0,1.0,Jam,Fog,No,39,1
13.83,30.0,4.9,2,0.0,Medium,Cloudy,No,30,0
19.37,36.0,4.8,0,1.0,Medium,Sandstorms,No,36,1
20.85,26.0,4.7,0,1.0,Jam,Cloudy,No,43,1
16.66,30.0,4.6,2,1.0,Low,Sunny,No,29,0
4.72,20.0,4.8,2,1.0,Medium,Stormy,No,25,0
7.76,33.0,4.7,2,1.0,Medium,Fog,No,15,0
13.77,34.0,4.0,0,2.0,Jam,Windy,No,39,1
12.29,36.0,4.6,0,1.0,Low,Windy,No,20,0
2.98,33.0,4.6,1,1.0,Low,Fog,No,15,0
16.79,22.0,4.8,1,1.0,Low,Sandstorms,No,16,0
1.53,38.0,4.7,2,1.0,Low,Sunny,No,19,0
12.42,27.0,4.9,2,0.0,Low,Fog,No,20,0
10.44,32.0,4.8,2,1.0,Jam,Sunny,No,25,0
12.42,26.0,4.8,0,1.0,Jam,Cloudy,No,43,1
19.66,29.0,4.5,0,0.0,Low,Windy,No,15,0
12.46,31.0,4.5,0,0.0,Jam,Sunny,No,29,0
6.15,28.0,4.6,2,0.0,High,Stormy,No,14,0
8.93,21.0,4.8,1,1.0,Medium,Sunny,No,11,0
12.58,30.0,4.9,1,1.0,Low,Windy,No,29,0
5.99,29.0,4.7,2,1.0,Medium,Cloudy,No,11,0
1.53,20.0,4.8,1,0.0,High,Sunny,No,14,0
13.74,28.0,5.0,0,0.0,Low,Windy,No,15,0
10.71,25.0,4.7,0,1.0,Low,Sandstorms,No,16,0
3.1,38.0,4.8,1,1.0,Low,Stormy,No,20,0
4.61,39.0,4.9,1,1.0,Low,Stormy,No,26,0
9.12,26.0,4.9,1,0.0,Medium,Windy,No,26,0
10.91,33.0,4.4,1,0.0,Jam,Windy,No,43,1
9.09,24.0,4.6,0,1.0,Medium,Sandstorms,No,25,0
6.23,24.0,4.9,0,1.0,Medium,Fog,No,28,0
13.61,33.0,4.5,2,0.0,Low,Stormy,No,17,0
13.61,35.0,4.2,1,1.0,Jam,Windy,No,44,1
13.76,27.0,4.2,0,1.0,Jam,Stormy,No,33,1
4.66,29.0,4.5,0,0.0,Medium,Sunny,No,15,0
19.34,34.0,4.7,1,1.0,Low,Fog,No,27,0
2.98,20.0,4.7,2,1.0,High,Cloudy,No,25,0
6.06,29.0,4.8,1,1.0,High,Sunny,No,18,0
9.09,22.0,4.9,2,0.0,Medium,Stormy,No,21,0
10.42,35.0,4.9,0,2.0,Jam,Cloudy,No,53,1
17.16,32.0,4.4,0,3.0,Jam,Sandstorms,No,42,1
16.11,28.0,4.9,2,1.0,Jam,Sunny,No,20,0
20.25,30.0,4.7,1,0.0,Low,Fog,No,29,0
17.08,22.0,4.7,2,0.0,Jam,Stormy,No,15,0
7.79,36.0,4.7,0,1.0,Medium,Fog,No,30,0
19.76,23.0,4.8,0,1.0,Jam,Windy,No,28,0
3.03,22.0,4.8,2,1.0,Low,Stormy,No,19,0
19.84,29.0,4.5,2,1.0,Low,Sandstorms,No,15,0
17.08,34.0,4.9,0,3.0,Jam,Sandstorms,Yes,50,1
1.55,38.0,4.1,0,1.0,High,Stormy,Yes,41,1
11.01,35.0,5.0,0,1.0,Medium,Fog,No,37,1
9.44,38.0,4.7,2,1.0,Jam,Cloudy,No,28,0
10.28,32.0,4.3,1,2.0,Medium,Cloudy,No,35,1
10.87,20.0,4.5,2,1.0,Jam,Windy,No,27,0
12.42,25.0,4.9,0,2.0,Jam,Fog,No,43,1
8.94,29.0,4.5,2,0.0,Low,Fog,No,12,0
8.93,32.0,4.7,2,1.0,Jam,Sandstorms,No,31,1
20.44,39.0,4.1,1,2.0,Jam,Cloudy,No,39,1
16.66,31.0,4.4,0,1.0,Jam,Stormy,No,47,1
7.6,37.0,4.5,0,1.0,Low,Fog,No,26,0
13.18,36.0,4.9,2,1.0,Medium,Cloudy,No,31,1
20.86,37.0,3.8,1,1.0,Jam,Sandstorms,No,42,1
11.9,37.0,4.4,0,1.0,Jam,Sandstorms,No,39,1
13.68,21.0,4.9,2,1.0,Low,Fog,No,21,0
4.47,35.0,4.9,2,0.0,Medium,Fog,No,18,0
13.41,22.0,4.8,1,1.0,Jam,Sandstorms,No,22,0
3.07,28.0,4.8,0,1.0,Low,Fog,No,23,0
20.21,39.0,4.0,0,0.0,Medium,Stormy,No,48,1
12.42,29.0,4.5,1,0.0,Low,Windy,No,13,0
3.1,39.0,4.6,2,1.0,High,Sandstorms,No,32,1
20.21,25.0,4.9,2,0.0,Jam,Sandstorms,No,16,0
4.67,34.0,5.0,2,0.0,Medium,Cloudy,No,19,0
3.11,22.0,4.8,1,1.0,Low,Sunny,No,18,0
10.44,27.0,5.0,0,1.0,Jam,Windy,No,27,0
10.71,28.0,4.5,0,1.0,Medium,Sunny,No,25,0
4.67,32.0,5.0,2,1.0,Medium,Stormy,No,31,1
10.76,27.0,4.6,0,0.0,Medium,Sunny,No,20,0
12.24,35.0,3.9,1,2.0,Jam,Windy,No,38,1
4.66,22.0,4.6,1,1.0,Low,Windy,No,19,0
4.72,35.0,4.7,2,1.0,Jam,Sunny,No,17,0
1.51,30.0,4.6,0,0.0,Low,Cloudy,No,24,0
3.11,39.0,4.8,2,1.0,High,Fog,No,26,0
9.22,33.0,4.8,2,1.0,Medium,Sandstorms,No,28,0
12.26,20.0,4.7,2,1.0,Medium,Sandstorms,No,16,0
4.72,20.0,4.7,2,0.0,Medium,Fog,No,17,0
9.33,34.0,4.2,0,0.0,Low,Windy,No,24,0
2.98,37.0,4.3,2,1.0,High,Stormy,No,34,1
1.53,20.0,4.8,1,1.0,Low,Cloudy,No,16,0
7.6,33.0,4.9,1,1.0,Low,Windy,No,26,0
19.66,21.0,5.0,1,1.0,Medium,Fog,No,25,0
10.6,33.0,4.6,0,2.0,Medium,Fog,No,49,1
12.42,24.0,4.6,2,0.0,Medium,Windy,No,24,0
3.15,36.0,4.7,2,2.0,High,Sandstorms,No,32,1
4.59,30.0,4.6,0,1.0,Medium,Sunny,No,26,0
13.83,32.0,4.9,1,1.0,Low,Sandstorms,No,24,0
19.98,28.0,4.6,2,0.0,Jam,Stormy,No,16,0
19.37,21.0,4.7,2,1.0,Jam,Windy,No,27,0
3.05,39.0,4.9,0,1.0,High,Fog,No,25,0
3.1,32.0,4.7,0,0.0,Low,Cloudy,No,26,0
9.18,20.0,4.5,1,1.0,Jam,Sandstorms,No,25,0
1.49,36.0,5.0,2,1.0,Low,Fog,No,15,0
3.11,28.0,4.8,1,1.0,Low,Sunny,No,18,0
7.66,32.0,4.5,0,1.0,Jam,Fog,No,30,0
17.08,39.0,4.4,1,1.0,Jam,Cloudy,No,46,1
16.72,30.0,4.7,0,1.0,Low,Windy,No,24,0
6.13,32.0,4.4,0,1.0,Medium,Sandstorms,No,37,1
13.61,23.0,4.6,0,1.0,Jam,Windy,No,27,0
6.12,21.0,4.8,2,1.0,Medium,Windy,No,27,0
9.07,31.0,4.2,2,1.0,Medium,Windy,No,32,1
3.06,37.0,4.6,2,1.0,High,Stormy,No,28,0
7.6,20.0,4.5,0,1.0,Jam,Sandstorms,No,29,0
1.49,28.0,4.5,0,1.0,Low,Sandstorms,No,27,0
1.55,22.0,4.9,1,0.0,Low,Cloudy,No,11,0
9.22,20.0,4.7,1,1.0,Medium,Cloudy,No,13,0
19.62,34.0,4.8,1,1.0,Low,Windy,No,27,0
6.21,38.0,4.8,1,1.0,High,Windy,No,25,0
6.04,32.0,4.5,2,1.0,High,Cloudy,No,27,0
16.85,34.0,4.9,2,1.0,Low,Sunny,No,26,0
13.61,33.0,3.9,2,1.0,Medium,Windy,No,32,1
3.03,34.0,4.5,1,1.0,Low,Windy,No,25,0
4.72,32.0,4.6,2,1.0,Jam,Stormy,No,32,1
7.77,34.0,4.7,0,1.0,Jam,Sunny,No,29,0
10.64,26.0,4.6,1,0.0,Jam,Cloudy,No,32,1
12.42,31.0,4.0,0,1.0,Low,Cloudy,No,35,1
6.08,39.0,4.8,0,1.0,High,Sunny,No,27,0
1.57,27.0,4.8,1,0.0,Low,Sunny,No,15,0
7.68,32.0,5.0,2,1.0,Jam,Cloudy,No,27,0
7.57,32.0,4.5,0,1.0,Medium,Stormy,No,30,0
10.56,39.0,4.1,0,1.0,Medium,Sunny,No,32,1
1.53,36.0,4.8,2,0.0,Low,Stormy,No,25,0
4.66,37.0,4.1,0,1.0,Medium,Windy,No,38,1
9.05,37.0,4.8,1,1.0,Jam,Fog,No,26,0
16.85,38.0,3.7,1,1.0,Jam,Stormy,No,31,1
3.02,28.0,4.7,2,1.0,High,Stormy,No,28,0
16.85,34.0,3.8,1,0.0,Medium,Stormy,No,31,1
17.07,32.0,4.9,1,1.0,Low,Cloudy,No,29,0
8.94,22.0,4.7,1,0.0,Low,Windy,No,17,0
13.62,31.0,4.0,0,3.0,Medium,Windy,Yes,45,1
12.43,27.0,4.0,0,1.0,Medium,Sandstorms,No,34,1
17.14,29.0,4.9,1,0.0,Jam,Windy,No,24,0
9.35,38.0,4.8,0,3.0,Jam,Sandstorms,No,44,1
7.6,35.0,4.8,2,2.0,Jam,Cloudy,No,36,1
4.66,31.0,4.9,0,0.0,Jam,Sunny,No,28,0
13.97,30.0,4.3,1,2.0,Medium,Windy,No,37,1
9.44,24.0,4.9,1,0.0,Medium,Fog,No,10,0
13.83,33.0,4.8,2,0.0,Low,Stormy,No,23,0
10.28,29.0,4.6,0,0.0,Low,Sandstorms,No,22,0
6.12,38.0,4.6,2,1.0,High,Stormy,No,26,0
9.06,26.0,4.9,0,1.0,Jam,Sandstorms,No,34,1
6.29,39.0,4.8,2,0.0,Medium,Sandstorms,No,26,0
9.19,34.0,4.2,0,1.0,Low,Stormy,No,28,0
8.94,26.0,4.7,2,0.0,Low,Windy,No,14,0
6.05,35.0,4.7,2,1.0,Medium,Cloudy,No,17,0
4.66,36.0,4.2,0,1.0,Medium,Sandstorms,No,37,1
16.66,24.0,2.6,1,1.0,Low,Sunny,Yes,42,1
16.83,33.0,4.3,1,1.0,Medium,Cloudy,No,34,1
16.79,26.0,4.6,1,1.0,Medium,Windy,No,25,0
17.07,32.0,5.0,1,1.0,Jam,Windy,No,30,0
13.4,37.0,4.9,0,2.0,Jam,Fog,No,48,1
20.29,26.0,4.9,2,1.0,Low,Stormy,No,18,0
20.25,31.0,4.8,1,0.0,Low,Stormy,No,28,0
13.97,37.0,4.6,1,1.0,Medium,Stormy,No,26,0
16.83,26.0,4.7,2,0.0,Jam,Sunny,No,16,0
4.54,37.0,4.8,0,0.0,Jam,Cloudy,No,25,0
20.44,22.0,4.6,2,0.0,Jam,Sunny,No,22,0
4.56,21.0,4.4,0,0.0,Low,Windy,No,15,0
1.55,22.0,4.0,0,1.0,Low,Sandstorms,No,28,0
1.55,38.0,4.5,1,1.0,Low,Windy,No,20,0
6.21,28.0,4.0,0,1.0,High,Stormy,No,32,1
20.44,29.0,4.7,1,0.0,Jam,Sandstorms,No,17,0
6.06,31.0,4.9,1,1.0,High,Cloudy,No,38,1
3.04,24.0,4.8,2,0.0,Low,Cloudy,No,14,0
6.29,33.0,4.8,1,1.0,Medium,Windy,No,26,0
13.79,26.0,4.9,0,1.0,Jam,Sandstorms,No,30,0
7.79,20.0,4.7,1,1.0,Jam,Cloudy,No,29,0
19.76,29.0,4.8,1,0.0,Low,Windy,No,12,0
10.87,32.0,4.0,0,3.0,Medium,Windy,Yes,49,1
16.66,20.0,4.9,0,1.0,Medium,Fog,No,42,1
10.87,26.0,5.0,2,1.0,Medium,Sandstorms,No,24,0
16.72,38.0,4.8,2,1.0,Jam,Cloudy,No,46,1
6.18,34.0,4.6,2,1.0,High,Sandstorms,No,27,0
2.98,27.0,4.5,1,0.0,Low,Stormy,No,13,0
10.59,29.0,5.0,1,1.0,Jam,Windy,No,25,0
19.76,24.0,4.9,2,1.0,Jam,Windy,No,24,0
1.51,21.0,4.9,1,0.0,Low,Cloudy,No,12,0
1.47,33.0,4.4,0,1.0,Low,Windy,No,24,0
9.06,35.0,4.7,1,1.0,Jam,Sandstorms,No,29,0
12.46,35.0,4.7,2,1.0,Low,Stormy,No,18,0
10.71,29.0,4.8,1,1.0,Low,Cloudy,No,23,0
12.26,21.0,4.9,0,1.0,Low,Windy,No,19,0
17.08,29.0,4.6,0,1.0,Jam,Windy,No,29,0
13.97,22.0,4.7,0,0.0,Jam,Sunny,No,24,0
11.9,24.0,4.4,2,0.0,Jam,Cloudy,No,40,1
1.55,23.0,4.9,2,0.0,High,Stormy,No,22,0
12.46,33.0,4.1,0,1.0,Medium,Sandstorms,No,43,1
16.9,35.0,4.6,2,1.0,Medium,Windy,No,26,0
4.67,21.0,4.7,1,0.0,Medium,Windy,No,27,0
13.97,39.0,4.4,0,2.0,Low,Fog,No,35,1
7.76,34.0,4.8,2,1.0,Low,Windy,No,27,0
6.08,29.0,4.9,0,1.0,High,Cloudy,No,27,0
3.06,20.0,4.7,1,0.0,Low,Fog,No,17,0
11.01,20.0,4.8,0,0.0,Low,Sandstorms,No,17,0
9.05,30.0,4.7,1,0.0,Low,Sunny,No,15,0
19.09,37.0,4.7,2,1.0,Jam,Fog,No,39,1
4.54,39.0,4.6,1,1.0,Jam,Stormy,No,25,0
16.9,26.0,5.0,0,1.0,Medium,Sunny,No,18,0
12.58,32.0,4.9,0,3.0,Medium,Cloudy,Yes,48,1
13.79,21.0,4.7,2,0.0,Low,Fog,No,28,0
3.11,35.0,4.8,2,0.0,Low,Sandstorms,No,29,0
4.53,39.0,4.6,2,0.0,Medium,Sandstorms,No,32,1
20.18,39.0,5.0,0,1.0,Low,Cloudy,No,41,1
10.92,27.0,4.9,0,2.0,Jam,Cloudy,No,39,1
4.66,33.0,4.8,2,0.0,Medium,Fog,No,16,0
19.98,33.0,4.8,0,3.0,Jam,Fog,No,48,1
10.87,37.0,4.7,1,0.0,Medium,Cloudy,No,40,1
3.12,20.0,4.6,1,0.0,Low,Stormy,No,11,0
12.58,20.0,4.6,2,1.0,Jam,Sunny,No,19,0
10.72,31.0,4.2,1,1.0,Jam,Cloudy,No,35,1
3.12,27.0,4.6,2,0.0,High,Sunny,No,16,0
7.57,37.0,4.9,1,0.0,Medium,Fog,No,15,0
7.76,34.0,4.4,2,1.0,Jam,Stormy,No,31,1
9.35,25.0,4.7,1,0.0,Low,Fog,No,11,0
7.63,37.0,4.7,0,1.0,Low,Cloudy,No,22,0
10.92,23.0,4.7,1,1.0,Low,Stormy,No,16,0
6.22,27.0,5.0,0,0.0,High,Fog,No,24,0
3.07,36.0,4.7,2,0.0,Low,Cloudy,No,16,0
